job_id,company_id,location,designation,details_id
247,247,India,Python Data Analyst - Contract,247
248,248,India,Data Analyst / Data Administrator,248
249,249,India,Data analyst_Dream hiring,249
251,251,India,Data Analytics Intern,251
253,253,India,Business Analyst,253
258,258,India,Data Analyst,258
259,259,India,SQL Developer,259
260,260,India,Junior Data Scientist,260
261,261,"Bhopal, Madhya Pradesh, India",Data entry,261
262,262,India,AI Developer (Python),262
264,264,India,Python Developer,264
265,265,India,Data Analyst,265
266,266,India,SQL Developer,266
267,267,India,Junior Data Scientist,267
268,268,"Bhopal, Madhya Pradesh, India",Data entry,268
269,269,India,AI Developer (Python),269
271,271,India,Python Developer,271
272,272,India,"ML Engineer, Part time, remote",272
273,273,"Bhopal, Madhya Pradesh, India",Leraning Experience Leader,273
275,275,India,SQL Developer,275
277,277,India,Data Scientist,277
278,278,India,Python Developer,278
279,279,India,IT Trainee (Fresher),279
280,280,India,Python Developer,280
282,282,South Asia,Software Engineer - Data,282
283,283,India,Data Analyst,283
284,284,India,Business Analyst,284
285,285,India,IT Business Analyst,285
287,287,India,Research Analyst (Fresher),287
289,289,India,Data Analyst Intern,289
290,290,India,Data Analyst,290
292,292,India,Junior Data Analyst,292
293,293,"Bengaluru East, Karnataka, India",Python Developer (Fresher Graduate),293
294,294,India,Data Analytics Intern,294
295,295,"Bengaluru, Karnataka, India","Database Engineer, Cloud SQL Server",295
296,296,"Bengaluru, Karnataka, India",Data Scientist,296
297,297,"Bengaluru, Karnataka, India",Machine Learning Engineer,297
298,298,India,Data or Business Analyst,298
299,299,"Bengaluru, Karnataka, India",SQL Business Analyst,299
301,301,"Bengaluru, Karnataka, India",Data Analyst,301
302,302,"Bengaluru, Karnataka, India",Python Developer,302
306,306,India,Data Analytics Intern,306
308,308,India,Python Developer,308
309,309,"Bengaluru, Karnataka, India",Python Developer,309
310,310,"Bengaluru, Karnataka, India",Data Engineer,310
311,311,"Bengaluru, Karnataka, India",Business Analyst,311
312,312,India,Junior Database Administrator (Fresher),312
313,313,"Bengaluru, Karnataka, India",Solution Architect,313
314,314,"Bengaluru, Karnataka, India",Business Development Lead Advance Market,314
315,315,India,Data Analytics Intern,315
316,316,"Bengaluru, Karnataka, India",Data Scientist,316
317,317,"Bengaluru, Karnataka, India",Full Stack Engineer,317
318,318,India,Data and Analytics Support Engineer,318
319,319,India,Analyst,319
320,320,"Bengaluru, Karnataka, India","AI Data Scientist, AI Safety Protection",320
321,321,"Bengaluru, Karnataka, India",Engineering Analyst,321
322,322,"Bengaluru East, Karnataka, India",Data Scientist,322
323,323,Greater Bengaluru Area,Analyst,323
324,324,"Bengaluru, Karnataka, India",Data Analyst 1,324
325,325,"Bengaluru, Karnataka, India",Data Engineer,325
326,326,"Bengaluru, Karnataka, India",Site Reliability Engineer,326
327,327,"Bengaluru, Karnataka, India",Data Engineer,327
328,328,"Bengaluru, Karnataka, India",Data Analyst 2,328
329,329,India,Data Analyst,329
330,330,"Bengaluru, Karnataka, India",Data Analyst,330
331,331,Greater Bengaluru Area,Data Engineer,331
333,333,"Bengaluru, Karnataka, India",Salesforce Architect,333
334,334,Greater Bengaluru Area,Associate Data Engineer,334
335,335,"Bengaluru East, Karnataka, India",Healthcare Data Analyst,335
336,336,"Bengaluru, Karnataka, India",Data Scientist,336
337,337,"Bengaluru, Karnataka, India",Python Developer,337
338,338,"Bengaluru East, Karnataka, India",Data Scientist,338
339,339,"Bengaluru, Karnataka, India",Data Scientist,339
340,340,"Bagalur, Karnataka, India",Data Scientist,340
341,341,"Bangalore Urban, Karnataka, India",Team Lead Treasures,341
342,342,"Bengaluru, Karnataka, India",Implementation Manager,342
343,343,"Bengaluru, Karnataka, India",Data Scientist,343
344,344,"Bengaluru, Karnataka, India",Trainee Business Analyst,344
345,345,India,Business Analyst,345
346,346,"Bengaluru, Karnataka, India","Junior, Data Scientist",346
